aren't,are not
can't,cannot
couldn't,could not
didn't,did not
don't,do not
doesn't,does not
hadn't,had not
haven't,have not
he's,he is
he'll,he will
he'd,he would
here's,here is
i'm,i am
i've,i have
i'll,i will
i'd,i had
isn't,is not
it's,it is
it'll,it will
mustn't,must not
she's,she is
she'll,she will
she'd,she had
shouldn't,should not
that's,that is
there's,there is
they're,they are
they've,they have
they'll,they will
they'd,they had
wasn't,was not
we're,we are
we've,we have
we'll,we will
we'd,we had
weren't,were not
what's,what is
where's,where is
who's,who is
who'll,who will
won't,will not
wouldn't,would not
you're,you are
you've,you have
you'll,you will
you'd,you had
